"isqno","datetime_min","datetime_max","datetime","duration1","duration2"
1,"1600-07-02T14:30:00","1600-07-02T19:30:00","1600-07-02T17:00:00",1,0.25
2,"1620-11-08T12:00:00","1620-11-08T13:00:00","1620-11-08T12:30:00",1,0.05
3,"1622-05-06T03:30:00","1622-05-06T19:00:00","1622-05-06T11:15:00",1.4375,0.575
4,"1626-04-25T00:00:00","1626-04-26T00:00:00","1626-04-25T12:00:00",2,0.6
5,"1626-08-27T00:00:00","1626-08-28T00:00:00","1626-08-27T12:00:00",2,0.6
6,"1631-09-17T14:30:00","1631-09-17T18:30:00","1631-09-17T16:30:00",1,0.2
7,"1632-04-15T00:00:00","1632-04-17T00:00:00","1632-04-16T00:00:00",2,1.2
8,"1632-09-03T10:00:00","1632-09-04T11:00:00","1632-09-03T22:30:00",2,0.55
9,"1632-11-16T11:00:00","1632-11-16T20:00:00","1632-11-16T15:30:00",1,0.45
10,"1634-09-06T05:30:00","1634-09-06T12:30:00","1634-09-06T09:00:00",1,0.35
11,"1636-10-04T00:00:00","1636-10-05T00:00:00","1636-10-04T12:00:00",2,0.6
12,"1642-11-02T07:00:00","1642-11-02T10:00:00","1642-11-02T08:30:00",1,0.15
13,"1643-05-19T03:30:00","1643-05-19T10:00:00","1643-05-19T06:45:00",1,0.325
14,"1643-11-24T00:00:00","1643-11-25T00:00:00","1643-11-24T12:00:00",2,0.6
15,"1644-08-03T17:00:00","1644-08-10T00:00:00","1644-08-06T20:30:00",7.29166666666667,0.575
16,"1645-03-06T00:00:00","1645-03-07T00:00:00","1645-03-06T12:00:00",2,0.6
17,"1645-05-02T00:00:00","1645-05-03T00:00:00","1645-05-02T12:00:00",2,0.6
18,"1645-08-03T17:00:00","1645-08-03T20:00:00","1645-08-03T18:30:00",1,0.15
19,"1648-08-10T05:00:00","1648-08-10T11:00:00","1648-08-10T08:00:00",1.14583333333333,0.15
20,"1642-10-23T15:00:00","1642-10-23T18:00:00","1642-10-23T16:30:00",1,0.15
21,"1644-07-02T19:00:00","1644-07-02T22:00:00","1644-07-02T20:30:00",1,0.15
22,"1644-09-01T00:00:00","1644-09-02T00:00:00","1644-09-01T12:00:00",2,0.6
23,"1644-08-15T00:00:00","1644-08-16T00:00:00","1644-08-15T12:00:00",2,0.6
24,"1644-10-27T06:00:00","1644-10-27T17:00:00","1644-10-27T11:30:00",1.375,0.2
25,"1645-06-14T10:00:00","1645-06-14T13:00:00","1645-06-14T11:30:00",1,0.15
26,"1648-08-17T00:00:00","1648-08-19T00:00:00","1648-08-18T00:00:00",2,1.2
27,"1650-09-03T04:00:00","1650-09-03T06:00:00","1650-09-03T05:00:00",1,0.1
28,"1651-09-03T14:30:00","1651-09-03T18:00:00","1651-09-03T16:15:00",1,0.175
29,"1652-07-05T08:00:00","1652-07-05T14:00:00","1652-07-05T11:00:00",1,0.3
30,"1658-06-14T08:00:00","1658-06-14T12:00:00","1658-06-14T10:00:00",1,0.2
31,"1664-08-01T06:00:00","1664-08-01T14:00:00","1664-08-01T10:00:00",1,0.4
32,"1683-09-12T05:30:00","1683-09-12T18:00:00","1683-09-12T11:45:00",1,0.625
33,"1673-11-11T00:00:00","1673-11-12T00:00:00","1673-11-11T12:00:00",2,0.6
34,"1674-06-16T00:00:00","1674-06-17T00:00:00","1674-06-16T12:00:00",2,0.15
35,"1674-08-11T10:00:00","1674-08-12T00:00:00","1674-08-11T17:00:00",1,0.7
36,"1674-10-04T00:00:00","1674-10-05T00:00:00","1674-10-04T12:00:00",2,0.35
37,"1675-01-05T00:00:00","1675-01-06T00:00:00","1675-01-05T12:00:00",2,0.6
38,"1675-06-28T08:00:00","1675-06-28T10:00:00","1675-06-28T09:00:00",1,0.1
39,"1685-07-06T03:00:00","1685-07-06T05:00:00","1685-07-06T04:00:00",1,0.1
40,"1689-07-27T19:45:00","1689-07-27T21:00:00","1689-07-27T20:22:30",1,0.0625
41,"1689-08-25T09:00:00","1689-08-25T18:30:00","1689-08-25T13:45:00",1,0.475
42,"1690-07-01T00:00:00","1690-07-02T00:00:00","1690-07-01T12:00:00",2,0.6
43,"1690-07-11T11:00:00","1690-07-11T14:00:00","1690-07-11T12:30:00",1,0.15
44,"1691-07-22T14:00:00","1691-07-22T20:00:00","1691-07-22T17:00:00",1,0.3
45,"1692-08-03T12:00:00","1692-08-03T19:00:00","1692-08-03T15:30:00",1,0.35
46,"1693-07-29T04:00:00","1693-07-29T15:00:00","1693-07-29T09:30:00",1,0.55
47,"1693-10-04T00:00:00","1693-10-05T00:00:00","1693-10-04T12:00:00",2,0.225
48,"1697-09-11T15:00:00","1697-09-11T19:30:00","1697-09-11T17:15:00",1,0.225
49,"1709-06-28T00:00:00","1709-06-29T00:00:00","1709-06-28T12:00:00",2,0.6
50,"1704-08-13T12:30:00","1704-08-13T21:00:00","1704-08-13T16:45:00",1,0.425
51,"1706-05-23T13:00:00","1706-05-23T19:00:00","1706-05-23T16:00:00",1,0.3
52,"1708-07-11T15:00:00","1708-07-11T21:00:00","1708-07-11T18:00:00",1,0.3
53,"1709-09-11T08:00:00","1709-09-11T15:00:00","1709-09-11T11:30:00",1,0.35
54,"1716-08-05T07:00:00","1716-08-05T12:00:00","1716-08-05T09:30:00",1,0.25
55,"1741-04-10T12:00:00","1741-04-10T18:45:00","1741-04-10T15:22:30",1,0.3375
56,"1742-05-17T08:00:00","1742-05-17T12:00:00","1742-05-17T10:00:00",1,0.2
57,"1743-06-27T00:00:00","1743-06-28T00:00:00","1743-06-27T12:00:00",2,0.6
58,"1745-05-11T05:00:00","1745-05-11T13:00:00","1745-05-11T09:00:00",1,0.4
59,"1745-06-04T04:00:00","1745-06-04T11:00:00","1745-06-04T07:30:00",1,0.35
60,"1745-09-30T07:00:00","1745-09-30T11:00:00","1745-09-30T09:00:00",1,0.2
61,"1745-12-14T14:00:00","1745-12-14T17:00:00","1745-12-14T15:30:00",1,0.15
62,"1745-09-21T04:30:00","1745-09-21T04:40:00","1745-09-21T04:35:00",1,0.00833333333333333
63,"1746-04-16T13:10:00","1746-04-16T13:50:00","1746-04-16T13:30:00",1,0.0333333333333333
64,"1756-10-01T11:00:00","1756-10-01T15:00:00","1756-10-01T13:00:00",1,0.2
65,"1757-05-06T11:00:00","1757-05-06T15:00:00","1757-05-06T13:00:00",1,0.2
66,"1757-06-23T08:00:00","1757-06-23T17:00:00","1757-06-23T12:30:00",1,0.45
67,"1757-06-18T14:00:00","1757-06-18T21:00:00","1757-06-18T17:30:00",1,0.35
68,"1757-07-26T09:00:00","1757-07-26T16:00:00","1757-07-26T12:30:00",1,0.35
69,"1757-11-05T15:30:00","1757-11-05T17:00:00","1757-11-05T16:15:00",1,0.075
70,"1757-12-05T13:00:00","1757-12-05T16:00:00","1757-12-05T14:30:00",1,0.15
71,"1758-06-23T13:00:00","1758-06-23T18:00:00","1758-06-23T15:30:00",1,0.25
72,"1758-08-25T10:00:00","1758-08-25T19:30:00","1758-08-25T14:45:00",1,0.475
73,"1758-10-14T05:00:00","1758-10-14T08:00:00","1758-10-14T06:30:00",1,0.15
74,"1759-04-13T00:00:00","1759-04-14T00:00:00","1759-04-13T12:00:00",2,0.6
75,"1759-08-01T06:00:00","1759-08-01T11:00:00","1759-08-01T08:30:00",1,0.25
76,"1759-08-12T11:30:00","1759-08-12T17:30:00","1759-08-12T14:30:00",1,0.3
77,"1759-09-13T10:00:00","1759-09-13T10:15:00","1759-09-13T10:07:30",1,0.0125
78,"1759-11-20T11:00:00","1759-11-20T17:30:00","1759-11-20T14:15:00",1,0.325
79,"1760-07-31T00:00:00","1760-08-01T00:00:00","1760-07-31T12:00:00",2,0.6
80,"1760-08-15T05:00:00","1760-08-15T07:00:00","1760-08-15T06:00:00",1,0.1
81,"1760-11-03T14:00:00","1760-11-03T22:00:00","1760-11-03T18:00:00",1,0.4
82,"1775-06-17T15:00:00","1775-06-17T19:00:00","1775-06-17T17:00:00",1,0.2
83,"1776-01-01T04:00:00","1776-01-01T09:00:00","1776-01-01T06:30:00",1,0.25
84,"1776-10-28T08:00:00","1776-10-28T17:00:00","1776-10-28T12:30:00",1,0.45
85,"1776-12-26T08:00:00","1776-12-26T09:30:00","1776-12-26T08:45:00",1,0.075
86,"1777-01-03T08:00:00","1777-01-03T08:15:00","1777-01-03T08:07:30",1,0.0125
87,"1777-09-19T12:45:00","1777-09-19T19:15:00","1777-09-19T16:00:00",1,0.325
88,"1777-10-04T06:00:00","1777-10-04T10:00:00","1777-10-04T08:00:00",1,0.2
89,"1777-10-07T14:30:00","1777-10-07T15:22:00","1777-10-07T14:56:00",1,0.0433333333333333
90,"1778-06-28T10:00:00","1778-06-28T17:00:00","1778-06-28T13:30:00",1,0.35
91,"1780-08-16T02:00:00","1780-08-16T13:00:00","1780-08-16T07:30:00",1.10416666666667,0.441666666666667
92,"1781-01-17T07:00:00","1781-01-17T08:00:00","1781-01-17T07:30:00",1,0.05
93,"1781-03-15T13:30:00","1781-03-15T15:30:00","1781-03-15T14:30:00",1,0.1
94,"1781-04-25T10:00:00","1781-04-25T16:00:00","1781-04-25T13:00:00",1,0.3
95,"1781-09-08T09:05:00","1781-09-08T13:00:00","1781-09-08T11:02:30",1,0.195833333333333
96,"1792-09-20T12:10:00","1792-09-20T17:00:00","1792-09-20T14:35:00",1,0.241666666666667
97,"1792-11-06T00:00:00","1792-11-07T00:00:00","1792-11-06T12:00:00",2,0.6
98,"1793-03-18T00:00:00","1793-03-19T00:00:00","1793-03-18T12:00:00",2,0.6
99,"1793-09-06T00:00:00","1793-09-07T00:00:00","1793-09-06T12:00:00",2,0.6
100,"1793-10-15T00:00:00","1793-10-17T00:00:00","1793-10-16T00:00:00",2,1.2
101,"1794-06-26T04:00:00","1794-06-26T10:00:00","1794-06-26T07:00:00",1,0.3
102,"1796-05-10T18:30:00","1796-05-10T20:00:00","1796-05-10T19:15:00",1,0.075
103,"1796-08-05T00:00:00","1796-08-06T00:00:00","1796-08-05T12:00:00",2,0.6
104,"1796-08-11T00:00:00","1796-08-12T00:00:00","1796-08-11T12:00:00",2,0.6
105,"1796-09-03T09:00:00","1796-09-03T19:20:00","1796-09-03T14:10:00",1,0.516666666666667
106,"1796-11-15T00:00:00","1796-11-18T00:00:00","1796-11-16T12:00:00",2,2
107,"1797-01-14T00:00:00","1797-01-16T00:00:00","1797-01-15T00:00:00",2,1.2
108,"1798-07-21T15:30:00","1798-07-21T16:30:00","1798-07-21T16:00:00",1,0.05
109,"1799-03-25T05:00:00","1799-03-25T20:00:00","1799-03-25T12:30:00",1,0.75
110,"1799-04-16T06:30:00","1799-04-16T16:30:00","1799-04-16T11:30:00",1,0.5
111,"1799-06-04T00:00:00","1799-06-05T00:00:00","1799-06-04T12:00:00",2,0.6
112,"1799-08-15T03:00:00","1799-08-15T20:00:00","1799-08-15T11:30:00",1.54166666666667,0.7
113,"1799-09-24T00:00:00","1799-09-26T00:00:00","1799-09-25T00:00:00",2,1.2
114,"1800-05-05T00:00:00","1800-05-06T00:00:00","1800-05-05T12:00:00",2,0.6
115,"1800-06-14T09:00:00","1800-06-14T21:00:00","1800-06-14T15:00:00",1.16666666666667,0.55
116,"1800-12-03T08:00:00","1800-12-03T17:30:00","1800-12-03T12:45:00",1,0.475
117,"1805-12-02T08:00:00","1805-12-02T17:00:00","1805-12-02T12:30:00",1,0.45
118,"1806-10-14T06:00:00","1806-10-14T15:15:00","1806-10-14T10:37:30",1,0.4625
119,"1806-10-14T08:00:00","1806-10-14T16:00:00","1806-10-14T12:00:00",1,0.4
120,"1807-02-08T08:00:00","1807-02-08T22:00:00","1807-02-08T15:00:00",1,0.7
121,"1807-06-14T17:30:00","1807-06-14T23:00:00","1807-06-14T20:15:00",1,0.275
122,"1808-08-21T10:00:00","1808-08-21T19:30:00","1808-08-21T14:45:00",1,0.475
123,"1809-01-16T14:00:00","1809-01-16T18:00:00","1809-01-16T16:00:00",1,0.2
124,"1809-04-22T13:30:00","1809-04-22T19:30:00","1809-04-22T16:30:00",1,0.3
125,"1809-05-21T13:00:00","1809-05-22T15:00:00","1809-05-22T02:00:00",1.875,0.775
126,"1809-06-14T14:00:00","1809-06-14T17:00:00","1809-06-14T15:30:00",1,0.15
127,"1809-07-05T19:00:00","1809-07-06T14:00:00","1809-07-06T04:30:00",1.375,0.575
128,"1809-07-28T05:00:00","1809-07-28T18:00:00","1809-07-28T11:30:00",1.35416666666667,0.258333333333333
129,"1810-09-27T05:45:00","1810-09-27T14:00:00","1810-09-27T09:52:30",1,0.4125
130,"1811-05-05T07:00:00","1811-05-05T14:00:00","1811-05-05T10:30:00",1,0.35
131,"1811-05-16T09:00:00","1811-05-16T14:50:00","1811-05-16T11:55:00",1,0.291666666666667
132,"1812-07-22T17:00:00","1812-07-22T20:45:00","1812-07-22T18:52:30",1,0.1875
133,"1813-06-21T08:30:00","1813-06-21T19:30:00","1813-06-21T14:00:00",1,0.55
134,"1812-09-07T06:00:00","1812-09-07T18:00:00","1812-09-07T12:00:00",1,0.6
135,"1813-05-02T11:45:00","1813-05-02T21:00:00","1813-05-02T16:22:30",1,0.4625
136,"1813-05-20T15:00:00","1813-05-21T17:00:00","1813-05-21T04:00:00",1.58333333333333,0.85
137,"1813-08-26T05:00:00","1813-08-27T16:00:00","1813-08-26T22:30:00",2.04166666666667,1.1
138,"1813-10-16T08:30:00","1813-10-19T14:00:00","1813-10-17T23:15:00",4.0625,1.175
139,"1813-10-30T09:00:00","1813-10-31T11:00:00","1813-10-30T22:00:00",1.91666666666667,0.625
140,"1814-02-01T13:00:00","1814-02-01T20:00:00","1814-02-01T16:30:00",1,0.35
141,"1814-03-09T06:00:00","1814-03-10T17:00:00","1814-03-09T23:30:00",2,1.25
142,"1814-03-20T14:00:00","1814-03-21T18:00:00","1814-03-21T04:00:00",2.04166666666667,0.425
143,"1815-06-16T14:00:00","1815-06-16T21:30:00","1815-06-16T17:45:00",1,0.375
144,"1815-06-16T14:30:00","1815-06-16T21:30:00","1815-06-16T18:00:00",1,0.35
145,"1815-06-18T11:30:00","1815-06-18T21:30:00","1815-06-18T16:30:00",1,0.5
146,"1813-10-05T14:00:00","1813-10-05T14:10:00","1813-10-05T14:05:00",1,0.00833333333333333
147,"1814-07-05T17:00:00","1814-07-05T18:00:00","1814-07-05T17:30:00",1,0.05
148,"1814-07-25T18:00:00","1814-07-26T00:00:00","1814-07-25T21:00:00",1,0.3
149,"1815-01-08T06:00:00","1815-01-08T06:45:00","1815-01-08T06:22:30",1,0.0375
150,"1819-08-07T00:00:00","1819-08-08T00:00:00","1819-08-07T12:00:00",2,0.6
151,"1821-06-25T00:00:00","1821-06-26T00:00:00","1821-06-25T12:00:00",2,0.6
152,"1822-04-07T00:00:00","1822-04-08T00:00:00","1822-04-07T12:00:00",2,0.6
153,"1822-05-24T09:00:00","1822-05-24T12:00:00","1822-05-24T10:30:00",1,0.15
154,"1824-08-06T00:00:00","1824-08-07T00:00:00","1824-08-06T12:00:00",2,0.6
155,"1824-12-09T09:00:00","1824-12-09T19:00:00","1824-12-09T14:00:00",1,0.5
156,"1836-04-21T16:30:00","1836-04-21T16:48:00","1836-04-21T16:39:00",1,0.015
157,"1846-05-08T14:30:00","1846-05-08T19:30:00","1846-05-08T17:00:00",1,0.25
158,"1846-05-09T16:00:00","1846-05-09T17:30:00","1846-05-09T16:45:00",1,0.075
159,"1847-02-22T15:00:00","1847-02-23T18:45:00","1847-02-23T04:52:30",1.625,0.825
160,"1847-04-17T12:00:00","1847-04-18T12:00:00","1847-04-18T00:00:00",1.79166666666667,0.6
161,"1847-08-20T05:45:00","1847-08-20T06:02:00","1847-08-20T05:53:30",1,0.0141666666666667
162,"1847-08-20T08:00:00","1847-08-20T15:30:00","1847-08-20T11:45:00",1.1875,0.175
163,"1847-09-08T05:00:00","1847-09-08T07:00:00","1847-09-08T06:00:00",1,0.1
164,"1847-09-13T05:50:00","1847-09-13T18:50:00","1847-09-13T12:20:00",1,0.65
165,"1854-09-20T14:30:00","1854-09-20T17:30:00","1854-09-20T16:00:00",1,0.15
166,"1854-11-05T05:45:00","1854-11-05T13:00:00","1854-11-05T09:22:30",1,0.3625
167,"1859-06-04T10:30:00","1859-06-04T19:30:00","1859-06-04T15:00:00",1,0.45
168,"1859-06-24T07:00:00","1859-06-24T18:30:00","1859-06-24T12:45:00",1,0.575
169,"1866-07-03T09:00:00","1866-07-03T17:00:00","1866-07-03T13:00:00",1,0.4
170,"1866-06-24T08:00:00","1866-06-24T17:00:00","1866-06-24T12:30:00",1,0.45
171,"1861-07-21T09:00:00","1861-07-21T16:00:00","1861-07-21T12:30:00",1,0.35
172,"1861-08-10T05:30:00","1861-08-10T11:30:00","1861-08-10T08:30:00",1,0.3
173,"1861-11-07T10:30:00","1861-11-07T16:50:00","1861-11-07T13:40:00",1,0.316666666666667
174,"1862-01-19T05:30:00","1862-01-19T16:00:00","1862-01-19T10:45:00",1,0.525
175,"1862-02-15T05:50:00","1862-02-15T15:30:00","1862-02-15T10:40:00",1,0.483333333333333
176,"1862-03-07T10:30:00","1862-03-08T11:30:00","1862-03-07T23:00:00",1.83333333333333,0.65
177,"1862-03-23T06:00:00","1862-03-23T18:00:00","1862-03-23T12:00:00",1.33333333333333,0.3
178,"1862-04-06T05:00:00","1862-04-07T16:00:00","1862-04-06T22:30:00",2.10416666666667,1.075
179,"1862-05-23T14:00:00","1862-05-23T17:30:00","1862-05-23T15:45:00",1,0.175
180,"1862-05-25T06:00:00","1862-05-25T07:30:00","1862-05-25T06:45:00",1,0.075
181,"1862-06-08T09:00:00","1862-06-08T12:00:00","1862-06-08T10:30:00",1,0.15
182,"1862-06-09T07:00:00","1862-06-09T11:00:00","1862-06-09T09:00:00",1,0.2
183,"1862-05-31T13:00:00","1862-06-01T13:30:00","1862-06-01T01:15:00",1.72916666666667,0.675
184,"1862-06-26T15:00:00","1862-06-26T21:00:00","1862-06-26T18:00:00",1,0.3
185,"1862-06-27T12:30:00","1862-06-27T21:00:00","1862-06-27T16:45:00",1.25,0.4
186,"1862-06-29T09:00:00","1862-06-30T21:00:00","1862-06-30T03:00:00",2.3125,0.5
187,"1862-07-01T15:00:00","1862-07-01T20:30:00","1862-07-01T17:45:00",1.125,0.175
188,"1862-08-09T15:00:00","1862-08-09T21:30:00","1862-08-09T18:15:00",1,0.325
189,"1862-08-29T05:30:00","1862-08-30T20:00:00","1862-08-30T00:45:00",2.27083333333333,1.125
190,"1862-09-14T09:00:00","1862-09-14T22:00:00","1862-09-14T15:30:00",1,0.65
191,"1862-09-17T05:30:00","1862-09-17T16:30:00","1862-09-17T11:00:00",1,0.55
192,"1862-10-03T10:00:00","1862-10-04T13:00:00","1862-10-03T23:30:00",1.95833333333333,0.525
193,"1862-10-08T14:00:00","1862-10-08T18:00:00","1862-10-08T16:00:00",1,0.2
194,"1862-12-13T11:00:00","1862-12-13T16:00:00","1862-12-13T13:30:00",1,0.25
195,"1862-12-31T07:00:00","1863-01-02T22:00:00","1863-01-01T14:30:00",3.375,0.75
196,"1863-05-01T11:15:00","1863-05-04T20:30:00","1863-05-03T03:52:30",4.28125,1.1125
197,"1863-05-16T10:30:00","1863-05-16T16:00:00","1863-05-16T13:15:00",1,0.275
198,"1863-06-09T04:00:00","1863-06-09T16:00:00","1863-06-09T10:00:00",1,0.6
199,"1863-07-01T10:00:00","1863-07-03T15:00:00","1863-07-02T12:30:00",3.125,0.95
200,"1863-09-19T05:30:00","1863-09-20T19:00:00","1863-09-20T00:15:00",2.14583333333333,1.15
201,"1863-11-24T10:00:00","1863-11-25T18:00:00","1863-11-25T02:00:00",1.875,0.65
202,"1864-05-05T07:15:00","1864-05-06T20:00:00","1864-05-06T01:37:30",1.90625,1.3875
203,"1864-05-08T00:00:00","1864-05-19T00:00:00","1864-05-13T12:00:00",2,2
204,"1864-05-15T05:00:00","1864-05-15T16:00:00","1864-05-15T10:30:00",1,0.55
205,"1864-06-03T04:30:00","1864-06-03T13:30:00","1864-06-03T09:00:00",1,0.45
206,"1864-06-27T09:00:00","1864-06-27T11:30:00","1864-06-27T10:15:00",1,0.125
207,"1864-07-20T15:00:00","1864-07-20T18:00:00","1864-07-20T16:30:00",1,0.15
208,"1864-07-22T12:30:00","1864-07-22T19:30:00","1864-07-22T16:00:00",1,0.35
209,"1864-06-15T19:00:00","1864-06-18T20:30:00","1864-06-17T07:45:00",3.875,2.075
210,"1864-08-18T00:00:00","1864-08-22T00:00:00","1864-08-20T00:00:00",2,2
211,"1864-09-19T05:00:00","1864-09-19T17:00:00","1864-09-19T11:00:00",1,0.6
212,"1864-10-19T05:30:00","1864-10-19T18:00:00","1864-10-19T11:45:00",1.4375,0.425
213,"1864-11-30T15:30:00","1864-11-30T23:00:00","1864-11-30T19:15:00",1,0.375
214,"1864-12-15T08:00:00","1864-12-16T16:45:00","1864-12-16T00:22:30",2.29166666666667,0.575
215,"1865-03-19T06:00:00","1865-03-21T08:00:00","1865-03-20T07:00:00",3,0.75
216,"1865-03-29T00:00:00","1865-04-01T00:00:00","1865-03-30T12:00:00",2,2
217,"1865-04-01T16:00:00","1865-04-01T19:30:00","1865-04-01T17:45:00",1,0.175
