"isqno","wxno","wx1","wx2","wx3","wx4","wx5"
1,1,"D","S","T","S","T"
2,1,"D","S","T","W","T"
3,1,"D","S","H","$","T"
4,1,"D","S","T","$","T"
5,1,"D","S","T","S","T"
6,1,"D","S","T","F","T"
7,1,"D","S","T","$","T"
8,1,"W","L","T","F","T"
9,1,"D","S","T","F","T"
10,1,"D","S","T","F","T"
11,1,"D","S","T","F","T"
12,1,"D","S","T","F","T"
13,1,"D","S","T","$","T"
14,1,"D","S","T","F","T"
15,1,"D","S","T","S","T"
16,1,"D","S","T","$","T"
17,1,"D","S","T","$","T"
18,1,"D","S","T","S","T"
19,1,"D","S","T","S","T"
20,1,"D","S","T","F","T"
21,1,"W","H","T","S","T"
22,1,"D","S","T","F","T"
23,1,"D","S","T","S","T"
24,1,"D","S","T","F","T"
25,1,"D","S","T","S","T"
26,1,"W","H","T","S","T"
27,1,"W","L","T","F","T"
28,1,"D","S","T","F","T"
29,1,"D","S","H","S","T"
30,1,"D","S","T","S","T"
31,1,"D","S","T","S","T"
32,1,"D","S","T","F","T"
33,1,"W","L","C","F","T"
34,1,"D","S","T","S","T"
35,1,"D","S","T","S","T"
36,1,"W","H","T","F","T"
37,1,"D","S","T","W","T"
38,1,"D","S","T","S","T"
39,1,"W","L","T","S","T"
40,1,"D","S","T","S","T"
41,1,"D","S","T","S","T"
42,1,"D","S","T","S","T"
43,1,"D","S","T","S","T"
44,1,"D","S","T","S","T"
44,2,"W","H","T","S","T"
45,1,"W","L","T","S","T"
46,1,"D","S","T","S","T"
47,1,"D","S","T","F","T"
48,1,"D","S","T","F","T"
49,1,"D","S","T","S","T"
50,1,"D","S","T","S","T"
51,1,"D","S","T","$","T"
52,1,"D","S","T","S","T"
53,1,"D","S","T","F","T"
54,1,"D","S","T","S","T"
55,1,"W","L","C","$","T"
56,1,"D","S","T","$","T"
57,1,"D","S","T","S","T"
58,1,"D","S","T","$","T"
59,1,"D","S","T","S","T"
60,1,"D","S","T","F","T"
61,1,"D","S","T","W","T"
62,1,"D","S","T","F","T"
63,1,"W","L","C","$","T"
64,1,"D","S","T","F","T"
65,1,"D","S","T","S","T"
66,1,"W","H","T","S","E"
67,1,"D","S","T","S","T"
68,1,"D","S","H","S","T"
69,1,"D","S","T","F","T"
70,1,"W","L","T","W","T"
71,1,"D","S","T","S","T"
72,1,"D","S","T","S","T"
73,1,"W","L","T","F","T"
74,1,"D","S","T","S","T"
75,1,"W","H","T","F","T"
76,1,"D","S","H","S","T"
77,1,"D","S","T","F","T"
78,1,"D","S","T","F","T"
79,1,"W","L","T","S","T"
80,1,"D","S","T","S","T"
81,1,"W","L","C","F","T"
82,1,"D","S","T","S","T"
83,1,"W","L","C","W","T"
84,1,"D","S","T","F","T"
85,1,"W","L","C","W","T"
86,1,"D",,"C","W","T"
87,1,"D","S","T","F","T"
88,1,"W","L","T","F","T"
89,1,"D","S","T","F","T"
90,1,"D","S","H","S","T"
91,1,"D","S","T","S","T"
92,1,"D","S","T","W","T"
93,1,"D","S","T","$","T"
94,1,"D","S","T","$","T"
95,1,"D","S","T","F","T"
96,1,"D",,"T","S","T"
97,1,"D","S","T","F","T"
98,1,"D","S","T","$","T"
99,1,"D","S","T","S","T"
100,1,"D","S","T","F","T"
101,1,"D","S","T","S","T"
102,1,"D","S","T","S","T"
103,1,"D","S","T","S","T"
104,1,"W","H","T","S","T"
105,1,"D","S","T","S","T"
106,1,"D","S","T","F","T"
107,1,"D",,"T","W","T"
108,1,"D","S","H","S","T"
108,2,"D","S","H","S","D"
109,1,"D","S","T","$","T"
110,1,"D","S","H","$","T"
110,2,"D","S","H","$","D"
111,1,"D","S","T","S","T"
112,1,"D","S","T","S","T"
113,1,"D",,"T","F","T"
114,1,"D","S","T","$","T"
115,1,"D","S","T","S","T"
116,1,"W","H","T","W","T"
117,1,"D","S","T","W","T"
118,1,"D","S","T","F","T"
119,1,"D","S","T","F","T"
120,1,"W","H","C","W","T"
121,1,"D","S","T","S","T"
122,1,"D","S","T","S","T"
123,1,"D","S","T","W","T"
124,1,"D","S","T","$","T"
125,1,"D","S","T","S","T"
126,1,"D","S","T","S","T"
127,1,"D","S","T","S","T"
128,1,"D","S","T","S","T"
129,1,"D","S","T","F","T"
130,1,"D","S","T","$","T"
131,1,"D","S","T","$","T"
131,2,"W","H","T","$","T"
132,1,"D","S","T","S","T"
133,1,"D","S","T","S","T"
134,1,"D","S","T","F","T"
135,1,"D","S","T","$","T"
136,1,"W","L","T","$","T"
137,1,"D","S","T","S","T"
138,1,"D","S","T","F","T"
139,1,"D","S","T","F","T"
140,1,"W","H","T","W","T"
141,1,"D","S","T","$","T"
142,1,"D","S","T","$","T"
143,1,"W","L","T","S","T"
144,1,"W","L","T","S","T"
145,1,"W","L","T","S","T"
145,2,"D","S","T","S","T"
146,1,"D","S","T","F","T"
147,1,"D","S","T","S","T"
148,1,"D","S","T","S","T"
149,1,"D","S","T","W","T"
150,1,"D","S","T","W","T"
151,1,"D","S","T","W","T"
152,1,"D","S","T","F","T"
153,1,"D","S","T","F","T"
154,1,"D","S","T","W","T"
155,1,"D","S","T","S","T"
156,1,"D","S","T","$","T"
157,1,"D","S","H","$","T"
157,2,"D","S","H","$","D"
158,1,"D","S","H","$","T"
158,2,"D","S","H","$","D"
159,1,"W","L","T","W","T"
159,2,"W","L","T","W","D"
160,1,"D","S","H","$","T"
161,1,"D","S","H","S","T"
162,1,"D","S","H","S","T"
163,1,"D","S","H","F","T"
164,1,"D","S","H","F","T"
165,1,"D","S","T","F","T"
166,1,"W","H","C","F","T"
167,1,"D","S","H","S","T"
168,1,"D","S","H","S","T"
169,1,"W","H","T","S","T"
170,1,"D","S","T","S","T"
171,1,"D","S","T","S","T"
172,1,"D","S","T","S","T"
173,1,"D","S","T","F","T"
174,1,"W","L","T","W","T"
175,1,"D","S","C","W","T"
176,1,"D","S","T","$","T"
177,1,"D","S","T","$","T"
178,1,"D","S","T","$","T"
179,1,"D","S","T","$","T"
180,1,"D","S","T","$","T"
181,1,"D","S","T","S","T"
182,1,"D","S","T","S","T"
183,1,"D","S","T","$","T"
184,1,"D","S","T","S","T"
185,1,"D","S","T","S","T"
186,1,"D","S","T","S","T"
187,1,"D","S","T","S","T"
188,1,"D","S","T","S","T"
189,1,"D","S","T","S","T"
190,1,"D","S","T","F","T"
191,1,"D","S","T","F","T"
192,1,"D","S","T","F","T"
193,1,"D","S","T","F","T"
194,1,"D","S","T","W","T"
195,1,"W","L","C","W","T"
196,1,"D","S","T","$","T"
197,1,"D","S","T","$","T"
198,1,"D","S","T","S","T"
199,1,"D","S","T","S","T"
200,1,"D","S","T","F","T"
201,1,"W","L","T","F","T"
201,2,"D","S","T","F","T"
202,1,"D","S","T","$","T"
203,1,"D","S","T","$","T"
203,2,"W","H","T","$","T"
204,1,"W","L","T","S","T"
205,1,"D","S","T","S","T"
206,1,"D","S","H","S","T"
207,1,"D","S","T","S","T"
208,1,"D","S","T","S","T"
209,1,"D","S","T","S","T"
210,1,"W","H","T","S","T"
211,1,"D","S","T","S","T"
212,1,"D","S","T","F","T"
213,1,"D","S","T","F","T"
214,1,"D","S","T","W","T"
215,1,"D","S","T","$","T"
216,1,"W","H","T","$","T"
217,1,"D","S","T","$","T"
218,1,"D","S","T","$","T"
219,1,"W","L","T","$","T"
220,1,"W","L","T","S","T"
221,1,"W","L","T","S","T"
222,1,"W","L","T","S","T"
223,1,"D","S","T","S","T"
224,1,"D","S","T","S","T"
225,1,"D","S","T","F","T"
226,1,"W","L","C","F","T"
227,1,"W","H","C","W","T"
228,1,"W","H","C","W","T"
229,1,"W","H","C","W","T"
230,1,"D","S","H","S","T"
231,1,"D","S","T","W","T"
232,1,"D","S","H","S","T"
233,1,"D","S","T","F","E"
234,1,"D","S","T","F","T"
234,2,"D","S","T","F","D"
235,1,"D","S","T","W","E"
236,1,"D","S","H","$","T"
237,1,"W","H","T","$","T"
237,2,"D","S","H","$","T"
238,1,"D","S","H","$","T"
239,1,"D","S","H","S","T"
240,1,"D","S","H","S","T"
241,1,"D","S","H","S","T"
242,1,"D","S","T","$","T"
243,1,"D","S","T","S","T"
244,1,"D","S","T","S","T"
245,1,"D","S","T","F","T"
246,1,"W","L","C","W","T"
247,1,"D","S","T","W","T"
248,1,"W","H","T","F","T"
249,1,"D","S","T","F","T"
250,1,"W","H","T","F","T"
251,1,"W","H","T","F","T"
252,1,"W","H","T","$","T"
253,1,"D","S","T","S","T"
253,2,"W","L","T","S","T"
254,1,"D","S","T","F","T"
254,2,"W","L","T","F","T"
255,1,"W","L","C","$","T"
255,2,"W","H","C","$","T"
256,1,"D",,"T","S","T"
256,2,"W","L","T","S","T"
257,1,"D","S","H","S","T"
257,2,"D",,"T","S","T"
258,1,"D","S","T","S","T"
259,1,"D","S","T","$","T"
260,1,"D","S","H","S","T"
260,2,"D","S","T","S","T"
261,1,"W","H","C","W","T"
262,1,"D","S","T","S","T"
263,1,"D","S","T","S","T"
264,1,"W",,"T","S","T"
264,2,"D","S","T","S","T"
265,1,"D","S","T","S","T"
266,1,"D","S","T","S","T"
267,1,"D","S","T","S","T"
268,1,"D","S","T","S","T"
269,1,"D","S","T","F","T"
270,1,"D","S","T","F","T"
271,1,"D","S","T","F","T"
272,1,"D","S","T","F","T"
273,1,"D","S","T","F","T"
274,1,"D","S","T","F","T"
275,1,"D","S","T","F","T"
275,2,"W","L","T","F","T"
276,1,"D","S","T","F","T"
276,2,"W","L","T","F","T"
277,1,"W","L","T","F","T"
278,1,"D","S","T","S","T"
279,1,"D","S","T","S","T"
280,1,"D","S","T","S","T"
280,2,"W","L","T","S","T"
281,1,"D","S","T","S","T"
281,2,"W","L","T","S","T"
282,1,"D","S","T","S","T"
283,1,"D","S","T","S","T"
284,1,"D","S","T","S","T"
285,1,"D","S","T","S","T"
286,1,"W","L","C","F","T"
287,1,"D","S","T","S","T"
287,2,"W","L","T","S","T"
288,1,"W","H","T","W","T"
289,1,"D","S","T","W","T"
289,2,"W","L","C","W","T"
290,1,"D",,"T","W","T"
291,1,"D","S","T","$","T"
291,2,"W","L","T","$","T"
292,1,"W","L","T","$","T"
293,1,"D","S","T","F","T"
293,2,"W","L","T","F","T"
294,1,"W","H","C","W","T"
295,1,"D","S","T","$","T"
296,1,"D","S","T","S","T"
296,2,"W","L","T","S","T"
297,1,"D","S","T","S","T"
297,2,"W","L","T","S","T"
298,1,"D","S","C","F","T"
298,2,"W","L","C","F","T"
299,1,"D","S","C","F","T"
299,2,"W","L","C","F","T"
300,1,"D","S","T","$","T"
301,1,"D","S","T","S","T"
302,1,"D","S","T","F","T"
302,2,"D","S","T","F","D"
303,1,"D","S","T","F","T"
303,2,"D","S","T","F","D"
304,1,"W","H","T","S","T"
304,2,"D","S","T","S","T"
305,1,"D","S","T","S","T"
306,1,"D","S","T","S","T"
307,1,"D","S","T","S","T"
308,1,"D","S","T","F","T"
308,2,"W","H","T","F","T"
309,1,"W","H","C","W","T"
310,1,"D","S","T","$","T"
311,1,"D","S","T","S","T"
312,1,"W","H","C","$","T"
313,1,"D","S","T","$","T"
313,2,"W","L","T","$","T"
314,1,"D","S","T","S","T"
314,2,"W","L","T","S","T"
315,1,"D","S","T","S","T"
315,2,"W","L","T","S","T"
316,1,"D","S","T","$","T"
316,2,"W","H","T","$","T"
317,1,"W","H","T","$","T"
317,2,"D","S","T","$","T"
318,1,"D","S","T","S","T"
318,2,"W","L","T","S","T"
319,1,"D","S","T","S","T"
319,2,"W","H","T","S","T"
320,1,"D","S","T","F","T"
321,1,"D","S","T","F","T"
322,1,"D","S","T","$","T"
322,2,"W","L","T","S","T"
323,1,"D","S","T","S","T"
323,2,"W","L","T","F","T"
324,1,"D","S","T","F","T"
324,2,"W","H","T","F","T"
325,1,"D","S","T","W","T"
326,1,"D","S","T","$","T"
327,1,"D","S","T","$","T"
328,1,"D","S","T","F","T"
329,1,"D","S","T","F","T"
330,1,"W","H","T","$","T"
331,1,"W","H","T","$","T"
332,1,"W","H","T","$","T"
333,1,"D","S","T","$","T"
334,1,"D","S","T","$","T"
335,1,"D",,"T","$","T"
336,1,"D","S","T","S","T"
337,1,"D",,"T","S","T"
337,2,"D","S","T","S","T"
338,1,"D","S","T","S","T"
339,1,"D","S","T","S","T"
340,1,"D",,"T","S","T"
340,2,"D","S","T","S","T"
341,1,"W","L","T","S","T"
342,1,"D",,"T","S","T"
343,1,,,,"S","T"
344,1,"D",,"T","S","T"
345,1,"D",,"T","S","T"
346,1,"D","S","T","S","T"
347,1,"D","S","T","S","T"
348,1,"D","S","T","S","T"
349,1,"D","S","T","S","T"
350,1,"D","S","T","$","T"
351,1,"D","S","T","S","T"
352,1,"D",,"T","S","T"
352,2,"D","S","T","S","T"
353,1,"D",,"T","S","T"
353,2,"D","S","T","S","T"
354,1,"D",,"T","S","T"
354,2,"D","S","T","S","T"
355,1,"D",,"T","S","T"
356,1,"D",,"T","S","T"
357,1,"D",,"T","S","T"
357,2,"D","S","T","S","T"
358,1,"D",,"T","S","T"
359,1,"D","S","T","S","T"
360,1,"W","L","T","S","T"
361,1,"W","L","T","S","T"
362,1,"W","L","T","S","T"
363,1,"D","S","T","S","T"
364,1,"W",,"T","F","T"
365,1,"W","H","T","F","T"
366,1,"D",,"T","F","T"
366,2,"W","L","T","F","T"
367,1,"D","S","T","F","T"
368,1,"D","S","T","F","T"
369,1,"D","S","T","F","T"
370,1,"D","S","T","F","T"
371,1,"D","S","T","F","T"
372,1,"D","S","T","F","T"
373,1,"D",,"T","F","T"
373,2,"W","L","T","F","T"
374,1,"D",,"T","F","T"
374,2,"W","L","T","F","T"
375,1,"D",,"T","F","T"
375,2,"W","L","T","F","T"
376,1,"D",,"T","F","T"
376,2,"W","L","T","F","T"
377,1,"D",,"T","F","T"
377,2,"W","L","T","F","T"
378,1,"D",,"T","F","T"
378,2,"D","S","T","F","T"
379,1,"D",,"T","F","T"
379,2,"D","S","T","F","T"
380,1,"D",,"T","F","T"
381,1,"D",,"T","F","T"
381,2,"W","H","T","F","T"
382,1,"W","H","T","F","T"
383,1,"W","L","T","F","T"
384,1,"W","H","T","S","T"
385,1,"D","S","T","F","T"
386,1,"D","S","T","S","T"
386,2,"D","S","T","S","D"
387,1,"D","S","T","F","T"
387,2,"D","S","T","F","D"
388,1,"D","S","T","F","T"
388,2,"D","S","T","F","D"
389,1,"D","S","T","F","T"
389,2,"D","S","T","F","D"
390,1,"D","S","T","F","T"
390,2,"D","S","T","F","D"
391,1,"D","S","T","F","T"
391,2,"D","S","T","F","T"
392,1,"D","S","T","$","T"
392,2,"D","S","T","$","D"
393,1,"D","S","T","$","T"
393,2,"D","S","T","$","T"
394,1,"D","S","T","F","T"
395,1,"D","S","T","F","T"
396,1,"D","S","T","F","T"
397,1,"D","S","T","F","T"
398,1,"D","S","T","F","T"
399,1,"D","S","T","F","T"
400,1,"D","S","T","F","T"
401,1,"D","S","T","F","T"
402,1,"D","S","T","F","T"
403,1,"D","S","T","F","T"
404,1,"D","S","T","F","T"
405,1,"D","S","T","F","T"
406,1,"D","S","T","F","T"
407,1,"D","S","T","F","T"
408,1,"D","S","T","F","T"
409,1,"W","L","T","F","T"
410,1,"W","L","T","F","T"
411,1,"W","L","T","F","T"
412,1,"W","L","T","F","T"
413,1,"W","L","T","F","T"
413,2,"W","H","T","F","T"
414,1,"D","S","T","F","T"
415,1,"W","L","T","F","T"
416,1,"D","S","T","F","T"
416,2,"W","L","T","F","T"
417,1,"W","L","T","F","T"
418,1,"W","L","T","F","T"
419,1,"W","L","T","F","T"
420,1,"W","L","T","F","T"
421,1,"W","L","T","F","T"
422,1,"W","H","T","F","T"
423,1,"W","H","T","W","T"
424,1,"D","S","C","W","T"
425,1,"D","S","C","W","T"
426,1,"D","S","T","W","T"
426,2,"W","L","T","W","T"
427,1,"D","S","C","W","T"
428,1,"D","S","C","W","T"
429,1,"D","S","C","W","T"
430,1,"W","L","T","W","T"
431,1,"D","S","T","W","T"
432,1,"D","S","C","W","T"
433,1,"W","L","T","W","T"
433,2,"D","S","T","W","T"
434,1,"D","S","T","$","T"
435,1,"D","S","T","$","T"
436,1,"D","S","T","$","T"
437,1,"D","S","T","$","T"
438,1,"D","S","T","$","T"
439,1,"D","S","T","$","T"
440,1,"D","S","T","$","T"
441,1,"D","S","T","$","T"
442,1,"W","L","T","$","T"
443,1,"W","L","T","$","T"
444,1,"W","L","T","$","T"
445,1,"W","L","T","$","T"
446,1,"D","S","T","$","T"
447,1,"D","S","T","$","T"
448,1,"D","S","T","$","T"
449,1,"D","S","T","$","T"
450,1,"D","S","T","$","T"
451,1,"D","S","T","$","T"
452,1,"D","S","T","$","T"
453,1,"D","S","T","S","T"
454,1,"D","S","T","S","T"
455,1,"D","S","T","S","T"
456,1,"D","S","T","S","T"
457,1,"D","S","T","F","T"
457,2,"W","L","T","F","T"
458,1,"D",,"T","S","T"
459,1,"D","S","T","S","T"
460,1,"D","S","T","S","T"
461,1,"D","S","T","S","T"
462,1,"D","S","T","S","T"
462,2,"D",,"T","S","T"
463,1,"W","L","T","S","T"
464,1,"W","L","T","S","T"
465,1,"W","L","T","F","T"
466,1,"W","L","T","F","T"
467,1,"W","L","T","F","T"
468,1,"W","L","T","F","T"
468,2,"D",,"T","F","T"
469,1,"W","L","T","F","T"
470,1,"W","H","C","F","T"
471,1,"W","H","C","F","T"
472,1,"W","L","C","F","T"
473,1,"W","L","C","F","T"
474,1,"W","L","C","F","T"
475,1,"D",,"C","F","T"
476,1,"D",,"C","F","T"
477,1,"D",,"C","F","T"
478,1,"W","L","C","F","T"
479,1,"W","L","C","F","T"
480,1,"D",,"T","W","T"
481,1,"D",,"T","F","T"
482,1,"W","L","C","F","T"
483,1,"W","H","C","W","T"
484,1,"W","L","C","W","T"
485,1,"W","L","C","W","T"
486,1,"D","S","T","S","T"
487,1,"W","H","H","W","E"
488,1,"D","S","T","S","T"
489,1,"D","S","C","F","T"
489,2,"W","L","C","F","T"
489,3,"W","H","C","F","T"
490,1,"D","S","C","W","T"
490,2,"W","L","C","W","T"
490,3,"W","H","C","W","T"
491,1,"D","S","T","S","T"
491,2,"W","L","T","S","T"
491,3,"W","H","T","S","T"
492,1,"W","L","C","W","T"
493,1,"D","S","T","S","T"
493,2,"W","L","T","S","T"
494,1,"W","L","T","S","T"
495,1,"D","S","T","S","T"
495,2,"W","L","T","S","T"
496,1,"D",,"T","S","T"
496,2,"W","L","T","S","T"
497,1,"D","S","T","S","T"
498,1,"D","S","T","S","T"
498,2,"W","L","T","S","T"
499,1,"D","S","T","S","T"
500,1,"D","S","T","F","T"
500,2,"D",,"T","F","T"
500,3,"W","L","T","F","T"
501,1,"W","H","C","W","T"
501,2,"W",,"C","W","T"
502,1,"W","L","C","W","T"
502,2,"W","H","C","W","T"
503,1,"D","S","T","$","T"
504,1,"D","S","T","S","T"
505,1,"D","S","T","S","T"
505,2,"W","L","T","S","T"
506,1,"D","S","T","S","T"
507,1,"D","S","T","S","T"
508,1,"D","S","T","S","T"
509,1,"D","S","T","S","T"
510,1,"D","S","T","S","T"
511,1,"D","S","C","W","T"
511,2,"W","L","C","W","T"
512,1,"W","L","C","W","T"
512,2,"W","H","C","W","T"
513,1,"W","L","C","W","T"
514,1,"W","L","C","W","T"
515,1,"D","S","T","$","T"
516,1,"W","L","T","S","T"
516,2,"W","H","T","S","T"
517,1,"D","S","T","F","T"
518,1,"D","S","T","W","T"
519,1,"D","S","T","W","T"
520,1,"D","S","T","$","T"
521,1,"D","S","T","$","T"
522,1,"D",,"T","$","T"
522,2,"W","L","T","$","T"
523,1,"W","H","T","$","T"
524,1,"D","S","T","$","T"
524,2,"D",,"T","$","T"
525,1,"W","L","T","$","T"
526,1,"D","S","T","$","T"
527,1,"D","S","T","$","T"
527,2,"W","H","T","$","T"
528,1,"D","S","T","$","T"
529,1,"D","S","T","$","T"
529,2,"W","L","T","$","T"
530,1,"W","H","T","$","T"
531,1,"W","L","T","$","T"
531,2,"W","H","T","$","T"
532,1,"W","H","T","$","T"
533,1,"W","H","T","$","T"
534,1,"D","S","T","S","T"
535,1,"D","S","T","S","T"
536,1,"D","S","T","S","T"
537,1,"D","S","T","S","T"
538,1,"D","S","T","$","T"
539,1,"D",,"T","$","T"
540,1,"W","H","T","$","T"
541,1,"D","S","T","$","T"
541,2,"D",,"T","$","T"
542,1,"W","H","T","$","T"
542,2,"D","S","T","$","T"
543,1,"D","S","T","$","T"
544,1,"D","S","T","$","T"
545,1,"W","L","T","$","T"
546,1,"D","S","T","S","T"
547,1,"D",,"T","S","T"
548,1,"D","S","T","S","T"
549,1,"D","S","H","S","T"
550,1,"D","S","H","S","T"
551,1,"D","S","H","S","T"
552,1,"D","S","H","S","T"
553,1,"D","S","H","S","T"
554,1,"D","S","H","S","T"
554,2,"D","S","H","S","D"
555,1,"D","S","H","S","T"
555,2,"D","S","H","S","D"
556,1,"D","S","H","S","T"
556,2,"D","S","H","S","D"
557,1,"D","S","H","S","T"
557,2,"D","S","H","S","D"
558,1,"D","S","H","S","T"
558,2,"D","S","H","S","D"
559,1,"D","S","H","S","T"
559,2,"D","S","H","S","D"
560,1,"D","S","H","S","T"
560,2,"D","S","H","S","D"
561,1,"D","S","H","S","T"
561,2,"D","S","H","S","D"
562,1,"D","S","H","S","T"
562,2,"D","S","H","S","D"
563,1,"D","S","H","S","T"
563,2,"D","S","H","S","D"
564,1,"D","S","H","S","T"
564,2,"D","S","H","S","D"
565,1,"D","S","H","S","T"
566,1,"D","S","H","S","T"
567,1,"D","S","H","S","T"
568,1,"D","S","T","$","T"
569,1,"D","S","H","F","T"
569,2,"D","S","H","F","D"
570,1,"D","S","H","F","T"
570,2,"D","S","H","F","D"
571,1,"D","S","H","F","T"
571,2,"D","S","H","F","D"
572,1,"D","S","H","F","T"
572,2,"D","S","H","F","D"
573,1,"D","S","H","F","T"
573,2,"D","S","H","F","D"
574,1,"D","S","H","F","T"
574,2,"D","S","H","F","D"
575,1,"D","S","H","F","T"
575,2,"D","S","H","F","D"
576,1,"D","S","H","F","T"
576,2,"D","S","H","F","D"
577,1,"D","S","H","F","T"
577,2,"D","S","H","F","D"
578,1,"D","S","H","F","T"
578,2,"D","S","H","F","D"
579,1,"D","S","H","F","T"
579,2,"D","S","H","F","D"
580,1,"D","S","H","F","T"
580,2,"D","S","H","F","D"
581,1,"D","S","H","F","T"
581,2,"D","S","H","F","D"
582,1,"D","S","H","F","T"
582,2,"D","S","H","F","D"
583,1,"D","S","H","F","T"
583,2,"D","S","H","F","D"
584,1,"D","S","H","F","T"
584,2,"D","S","H","F","D"
585,1,"D","S","H","F","T"
586,1,"D","S","H","F","T"
587,1,"D","S","H","F","T"
588,1,"D","S","H","F","T"
589,1,"D","S","T","F","T"
590,1,"D","S","H","F","T"
591,1,"D","S","H","F","T"
592,1,"D","S","H","F","T"
593,1,"D","S","H","F","T"
594,1,"D","S","H","F","T"
595,1,"D","S","H","F","T"
596,1,"D","S","H","F","T"
597,1,"D","S","H","F","T"
598,1,"D","S","H","F","T"
599,1,"D","S","H","F","T"
600,1,"D","S","H","F","T"
601,1,"D","S","H","F","T"
602,1,"D","S","C","W","D"
603,1,"D",,"C","W","D"
604,1,"W","H","C","W","D"
605,1,"W",,"C","W","T"
606,1,"W",,"C","W","T"
607,1,"W",,"C","W","T"
608,1,"W",,"C","W","T"
609,1,"D","S","T","W","T"
610,1,"D","S","T","W","T"
611,1,"D","S","T","W","T"
612,1,"D","S","T","S","T"
613,1,"D","S","T","S","T"
614,1,"W","L","T","F","T"
615,1,"W","L","T","F","T"
616,1,"W","L","T","F","T"
617,1,"W","L","C","W","T"
618,1,"W","L","C","W","T"
619,1,"W","L","C","W","T"
620,1,"D",,"C","W","T"
621,1,"D",,"C","W","T"
622,1,"D",,"C","W","T"
623,1,"D",,"C","W","T"
624,1,"D",,"C","W","T"
625,1,"D",,"C","W","T"
626,1,"W","L","T","F","T"
627,1,"D",,"T","F","T"
628,1,"D",,"T","F","T"
629,1,"D",,"T","F","T"
630,1,"D",,"T","W","T"
631,1,"D",,"T","$","T"
632,1,"W","L","T","$","T"
633,1,"W","L","T","$","T"
634,1,"W","L","T","$","T"
635,1,"W","H","T","S","T"
636,1,"W","L","T","S","T"
637,1,"W","L","T","$","T"
638,1,"D",,"H","S","D"
639,1,"D",,"H","S","D"
640,1,"D",,"H","F","D"
641,1,"D",,"H","S","D"
642,1,"D",,"H","S","D"
643,1,"D",,"H","S","D"
644,1,"D",,"T","$","T"
645,1,"D",,"H","S","D"
646,1,"D",,"T","$","D"
647,1,"D",,"H","S","D"
648,1,"D",,"T","W","D"
649,1,"D",,"T","W","D"
650,1,"D",,"H","F","D"
651,1,"D",,"H","F","D"
652,1,"D",,"H","F","D"
653,1,"D",,"H","F","D"
654,1,"D",,"T","$","E"
655,1,"D",,"T","$","D"
656,1,"D",,"H","S","D"
657,1,"W","L","T","$","T"
658,1,"W","L","T","$","T"
659,1,"D",,"T","$","T"
660,1,"W","L","T","S","T"
